"ID" "Faltas" "Dever" "Gosta_escola" "Notas" "Alcool_vida" "Inalantes_vida" "Sexo" "Idade" "Ano_escolar" "Autoeficacia" "Intromissao" "Antisocial" "Futuro2"
"400" 400 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 12 7 3.92 2.77 2.19 "COM UM \XF3TIMO"
"401" 401 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Não" 1 13 7 3.93 2.73 2.57 "EU AINDA N\XE3O"
"402" 402 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Não" 1 NA 9 3.94 1.98 1.34 "ESPERO ESTAR FO"
"403" 403 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 13 8 3.94 2.31 1.15 "EU IMAGINO MEU "
"404" 404 "Nenhum dia" "Muitas vezes" "Não gosto" "Médias" "Não" "Sim" 1 12 7 3.95 1.97 1.63 "FORMADA EM MEDI"
"405" 405 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Não" 1 12 7 3.95 2.25 1.28 "UMA ARTISTA FAM"
"406" 406 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 11 6 3.95 3.41 1.04 "UMA MENINAS BOA"
"407" 407 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 1 12 7 3.96 1.05 1.5 "SENDO UMA VETER"
"408" 408 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" NA "Sim" 1 11 6 3.96 2.52 1.03 "COMO PESQUISADO"
"409" 409 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 7 3.97 0.93 1.33 "EU SENDO UMA OF"
"410" 410 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 9 3.97 1.21 0.95 "EU IMAGINO MINH"
"411" 411 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 1 10 6 3.97 1.71 1.62 "IMAGINO QUE VOU"
"412" 412 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 7 3.97 1.75 1.12 "EU IMAGINO OU T"
"413" 413 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 3.97 1.75 1.38 "JOGAR FUTEBOL, "
"414" 414 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 7 3.97 1.98 1.05 "RICA, FAM\XEDLI"
"415" 415 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Não" 2 14 9 3.97 2.75 2.05 "EU ME IMAGINO Q"
"416" 416 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 7 3.97 4.95 0.94 "SIM, EU PENSO E"
"418" 418 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 3.98 3 1.17 "TENDO TRABALHO "
"422" 422 "Nenhum dia" "Sempre" "Gosto pouco" "Baixas" "Não" "Sim" 2 13 7 4 1.16 1.48 "SENDO VETERIN\X"
"423" 423 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 7 4 1.51 1.62 "EU IMAGINO QUE "
"424" 424 "3 a 5 dias" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 11 6 4 1.51 1.85 "IMAGINO QUE EU "
"425" 425 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 7 4 1.96 0.96 "EU IMAGINO MINH"
"426" 426 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 9 4 2.24 2.05 "UM FUTURO BEM S"
"427" 427 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 9 4 2.27 1.07 "ME IMAGINO FORM"
"428" 428 "Nenhum dia" "Várias vezes" "Gosto pouco" "Baixas" "Não" "Sim" 2 12 7 4 2.93 1.04 "\XC9, EU ME IMA"
"429" 429 "3 a 5 dias" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 13 7 4 3.09 1.05 "QUE EU QUERO CE"
"430" 430 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 8 4 3.21 0.92 "IMAGINO EU COM "
"431" 431 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" NA "Sim" 2 13 8 4.01 2.94 1.68 "TACANDO BOLA DE"
"432" 432 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 NA 9 4.01 3.91 1.56 "EU IMAGINO EU T"
"433" 433 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Não" 2 13 7 4.02 1.17 1.28 "UM ENGENHEIRO, "
"435" 435 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 7 4.03 3.26 2.62 "N\XE3O IMAGINO "
"436" 436 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 2 11 6 4.03 3.47 0.98 "SER MEDICA, TER"
"437" 437 "Nenhum dia" "Muitas vezes" "Adoro" NA "Não" "Sim" 2 11 6 4.04 1.15 0.98 "SER UMA BOA PES"
"438" 438 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 1 12 7 4.04 2.19 1.53 "EU FORMADA, COM"
"439" 439 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 NA 9 4.04 2.42 1.91 "EU IMAGINO QUE "
"440" 440 "1 ou 2 dias" "Raramente" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 7 4.04 3.24 1.51 "IMAGIVA SER FEL"
"441" 441 "Nenhum dia" "Muitas vezes" "Gosto pouco" NA "Sim" "Sim" 1 13 8 4.05 0.98 1.61 "EU QUERO FEZER "
"442" 442 "Nenhum dia" "Várias vezes" "Gosto pouco" "Baixas" "Não" "Não" 1 11 6 4.05 1.36 2.44 "IMAGINO EU TRAB"
"443" 443 "1 ou 2 dias" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 6 4.05 1.43 0.94 "FORMADO E COM E"
"444" 444 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.05 2.19 1.35 "EU IMAGINO EU C"
"445" 445 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 8 4.05 2.78 1.79 "SENDO ADVOGADA "
"446" 446 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 9 4.05 2.98 1.81 "EU QUERO TER UM"
"447" 447 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.06 1 1.22 "EU IMAGINO EU M"
"448" 448 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Não" 1 14 7 4.06 1.63 1.02 "EU QUERIA QUE F"
"449" 449 "Nenhum dia" "Várias vezes" "Gosto bastante" "Baixas" "Não" "Não" 2 14 7 4.06 2.47 2.51 "UMA OTIMA ADVOG"
"450" 450 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 2 13 7 4.06 2.76 2.06 "EU IMAGINO: UMA"
"451" 451 "Nenhum dia" "Sempre" "Detesto" "Altas" "Sim" "Sim" 2 11 6 4.06 4.79 2 "EU ME IMAGINO U"
"453" 453 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.07 1.47 1.13 "EU IMAGINO ME F"
"454" 454 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 2 12 6 4.07 1.5 1.05 "NO FUTURO QUERO"
"455" 455 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 6 4.07 1.91 0.97 "EU GOSTARIA DE "
"456" 456 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Baixas" "Sim" "Não" 1 12 7 4.07 2.28 1.42 "BEM LEGAL E RIC"
"457" 457 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 9 4.07 2.28 1.7 "COM UM EMPREGO "
"458" 458 "1 ou 2 dias" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 4.07 2.29 1.49 "EU PRETENDO SER"
"459" 459 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Não" 2 NA 9 4.07 3.42 1.36 "UMA PESSOA BEM "
"460" 460 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 14 9 4.07 3.94 1.79 "N\XE3O SEI MUIT"
"462" 462 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 14 8 4.09 2.73 1.62 "UMA VIDA CALMA "
"463" 463 "Nenhum dia" "Muitas vezes" "Não gosto" "Altas" "Não" "Não" 1 13 7 4.09 3.34 2.79 "EU IMAGINO EU C"
"464" 464 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Não" "Sim" 2 12 7 4.09 3.75 2.12 "EU IMAGINO EU S"
"465" 465 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Não" 1 11 6 4.1 2.5 1.52 "SER UMA MULHER "
"466" 466 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 1 11 6 4.1 2.58 1.01 "EU IMAGINO QUE "
"467" 467 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 6 4.1 5.03 1.59 "EU SENDO ADIVOG"
"468" 468 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 2 12 7 4.11 0.95 2.32 "TRABALHANDO NO "
"469" 469 "Nenhum dia" "Várias vezes" "Gosto pouco" "Baixas" "Não" "Não" 1 11 6 4.11 2.93 2.31 "BEM SUCEDIDA, T"
"470" 470 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 6 4.13 1.52 1.45 "UMA PESSOA DE B"
"471" 471 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 4.13 1.76 0.95 "UMA VIDA BEM SU"
"472" 472 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 1 12 8 4.13 3 2.16 "EU ME IMAGINO B"
"473" 473 "1 ou 2 dias" "Muitas vezes" "Não gosto" "Médias" "Não" "Sim" 1 13 8 4.14 1.06 1.65 "BOA, COM CONDI\"
"475" 475 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 4.14 2.01 1.07 "BOM NO FUTURO E"
"476" 476 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 7 4.14 2.87 1.14 "MUITO RICO, CHE"
"477" 477 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 14 9 4.14 4.96 2.21 "EU IMAGINO TER "
"478" 478 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 1 13 7 4.15 0.9 2.07 "UMA ENGENHEIRA "
"480" 480 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 14 9 4.15 2 1.47 "COM UMA VIDA BE"
"481" 481 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.16 1.8 1.16 "UMA VIDA COM SU"
"482" 482 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" NA 11 6 4.16 4.59 0.94 "EU IMAGINO QUE "
"484" 484 "Mais de 5 dias" "Raramente" "Gosto pouco" "Médias" "Sim" "Não" 1 13 6 4.17 3.31 1.27 "QUE EU VOU TRAB"
"485" 485 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 7 4.17 4.83 1.41 "EU IMAGINO QUE,"
"486" 486 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 1 12 7 4.18 1 0.94 "EU IMAGINO UMA "
"488" 488 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 4.19 1.48 1.32 "EU ME IMAGINO F"
"489" 489 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Baixas" "Sim" "Sim" 1 12 7 4.19 2.05 0.93 "MORANDO EM  PA\"
"490" 490 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 13 7 4.2 3.07 1.02 "UMA GRANDE MEDI"
"491" 491 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 4.2 4.06 0.96 "RICA E POTERO\X"
"492" 492 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 2 11 6 4.2 4.94 5.04 "MORANDO EM BARC"
"494" 494 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 14 9 4.21 1.71 1.61 "ESPERO ESTAR CO"
"495" 495 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 2 14 8 4.21 2.05 1.26 "UM ADVOGADO, CO"
"496" 496 "Nenhum dia" "Sempre" "Gosto pouco" NA "Sim" "Sim" 2 11 6 4.21 2.19 0.9 "TRABALHANDO AND"
"497" 497 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 2 12 7 4.22 1.47 1.14 "SENDO UM JOGADO"
"498" 498 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 2 13 7 4.22 3.47 1.05 "QUE EU SEJA LEG"
"499" 499 "Nenhum dia" "Várias vezes" "Não gosto" "Altas" "Sim" "Sim" 2 11 6 4.23 0.98 1.03 "QUE EU SEJA UM "
"500" 500 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 7 4.23 1.72 1.66 "ESPERO QUE O BR"
"501" 501 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Não" 1 13 8 4.23 1.81 2.28 "TENHO PRETEN\XE"
"502" 502 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 7 4.23 1.95 1.86 "COM SA\XFADE, R"
"503" 503 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 4.23 2.02 0.97 "SIM, COM MEU CA"
"504" 504 "1 ou 2 dias" "Sempre" "Gosto bastante" "Altas" "Não" "Não" 1 13 8 4.23 3.22 2.91 "UMA PESSOA BEM "
"505" 505 "Nenhum dia" "Sempre" "Adoro" "Altas" NA "Sim" 2 13 9 4.23 4 1.77 "UMA VIDA RICA D"
"506" 506 "Nenhum dia" "Várias vezes" "Gosto pouco" "Baixas" "Não" "Sim" 2 12 7 4.23 4.47 1.16 "AINDA N\XE3O"
"507" 507 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 14 7 4.24 1.57 1.61 "EU IMAGINO MINH"
"508" 508 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 4.24 2.31 1.21 "UMA ATRIZ DE NO"
"509" 509 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 11 6 4.24 3 1.55 "IMAGINO SEM \XE"
"510" 510 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 9 4.24 4.27 3.86 "ME IMAGINO TRAB"
"511" 511 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 2 NA 8 4.25 2.23 1.46 "FAM\XEDLIA FELI"
"512" 512 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Não" 1 14 9 4.25 3.27 1.94 "EU A IMAGINO MU"
"513" 513 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 NA 8 4.27 1.77 1.8 "BOA E BEM SUCED"
"514" 514 "Nenhum dia" "Várias vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 12 7 4.27 3.81 1.12 "IMAGINO QUE VOU"
"516" 516 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 13 7 4.28 1.84 0.89 "IMAGINO EU FORM"
"517" 517 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 12 7 4.28 2.27 2.41 "BOM , PRETENDO "
"518" 518 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 9 4.28 3.95 0.98 "COM UM EMPREGO,"
"519" 519 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 1 14 9 4.29 1.72 1.46 "BEM SUCEDIDA, R"
"520" 520 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 4.29 2.06 0.97 "EU IMAGINO UM L"
"521" 521 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.29 2.98 1.33 "N\XE3O POSSO DE"
"522" 522 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 4.3 2.27 1 "EU ME IMAGINO C"
"523" 523 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.3 3.01 1.32 "UMA M\XE9DICA P"
"524" 524 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 4.32 1.02 0.95 "EU IMAGINO EU R"
"525" 525 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.32 1.02 1.22 "IMAGINO UMA VID"
"526" 526 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 4.32 1.21 1.76 "EU ME IMAGINO U"
"527" 527 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 1 13 7 4.32 2.29 2.5 "ME IMAGINO BEM "
"528" 528 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.32 3.9 1.61 "UMA MENINAS MUI"
"529" 529 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 4.33 2.03 1.15 "EU ME IMAGINO U"
"530" 530 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 14 9 4.33 2.22 1.54 "EU ME IMAGINO B"
"531" 531 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 14 9 4.33 2.26 1.62 "CASADA, COM UMA"
"532" 532 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 2 13 8 4.33 2.74 1.36 "UMA VIDA LONGA "
"533" 533 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.34 2.7 1.07 "COM UMA PROFISS"
"534" 534 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Sim" "Sim" 2 11 6 4.34 3.49 2.35 "MINHA VIDA VAI "
"535" 535 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 2 12 6 4.35 1.03 0.96 "RICO, FELIZ, SA"
"536" 536 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 11 6 4.35 1.06 1.56 "UMA BOA MULHER "
"537" 537 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 7 4.35 1.22 0.95 "EU ME IMAGINO C"
"538" 538 "Nenhum dia" "Várias vezes" "Gosto bastante" "Baixas" "Não" "Sim" 1 14 9 4.35 1.34 1.4 "FORMADA EM DIRE"
"539" 539 "Nenhum dia" "Sempre" "Adoro" "Baixas" "Sim" "Sim" 1 11 6 4.35 2 0.94 "EU IMAGINO QUE "
"540" 540 "Nenhum dia" "Muitas vezes" "Não gosto" "Médias" "Sim" "Sim" 2 12 7 4.35 2.19 1.54 "N\XE3O SEI DIZE"
"541" 541 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 1 11 6 4.35 3.26 0.95 "IMAGINO QUE SEJ"
"542" 542 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 7 4.36 1.15 2.04 "EU IMAGINO COM "
"543" 543 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 6 4.36 1.34 1.13 "SER UM PSICOLOG"
"544" 544 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 14 7 4.37 1.93 1.36 "IMAGINO UMA SEN"
"545" 545 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Não" 1 13 8 4.38 4.95 1.83 "UMA VIDA BEM SU"
"546" 546 "1 ou 2 dias" "Sempre" "Detesto" "Médias" "Não" "Sim" 2 14 7 4.38 5.01 1.27 "MUITO BEM"
"547" 547 "Nenhum dia" "Sempre" "Adoro" "Médias" "Não" "Sim" 1 13 7 4.39 3.96 1.03 "OU EU TENHO MEU"
"548" 548 "Nenhum dia" "Sempre" "Adoro" "Baixas" "Sim" "Sim" 2 12 6 4.39 4 0.98 "TOMA LU SER MED"
"549" 549 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.4 1.98 2.29 "EU ME IMAGINO R"
"550" 550 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 2 13 6 4.41 1.2 1.03 "UMA PESSOA BOA "
"551" 551 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 6 4.41 2.57 1.09 "EU SENDO JOGADO"
"552" 552 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 8 4.41 3.2 1.41 "SER FORMAR EM G"
"553" 553 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 14 9 4.42 1.59 2.15 "SONHOS E PLANOS"
"554" 554 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 14 9 4.42 2.22 1.28 "EU GOSTARIA DE "
"555" 555 "Nenhum dia" "Muitas vezes" "Adoro" "Altas" "Não" "Sim" 2 12 7 4.42 3.63 1.18 "UM TRABALHO BOM"
"556" 556 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 8 4.43 1.31 0.9 "BOA, POIS ESTOU"
"557" 557 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 12 7 4.43 1.44 1.07 "IMAGINO, EU CAS"
"558" 558 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 4.43 2.02 1.02 "EU ME IMAGINO U"
"559" 559 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 13 7 4.43 2.78 1.33 "EU IMAGINO BOA "
"560" 560 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 2 11 6 4.43 3.58 1.01 "MUITO BOA E MAN"
"561" 561 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 4.44 3.79 0.93 "EU IMAGINO QUE "
"562" 562 "Nenhum dia" "Muitas vezes" "Gosto bastante" NA "Sim" "Sim" 1 13 8 4.45 1.76 1.12 "ME IMAGINO UMA "
"563" 563 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 8 4.46 1.1 0.98 "EM BOA CONDI\XE"
"564" 564 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 11 6 4.46 2.25 1.38 "UMA PESSOA FELI"
"565" 565 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" NA 12 6 4.46 2.47 1.14 "AS VEZ EU PENSO"
"566" 566 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 13 6 4.46 4.66 1.3 "QUE EU AJUDE MU"
"567" 567 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Não" "Não" 2 12 7 4.47 4.79 1.92 "COMO UM HOMEM R"
"568" 568 "Nenhum dia" "Sempre" "Adoro" "Médias" "Não" "Não" 1 11 6 4.49 1.28 1.08 "CASAR, SER ADVO"
"569" 569 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 2 14 9 4.49 1.67 1.28 "DIFERENTE DO PA"
"570" 570 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.49 1.7 1.08 "QUE EU SEJA UMA"
"571" 571 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 8 4.49 4.19 1.26 "UM HOMEM DE GRA"
"572" 572 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Sim" 1 NA 9 4.49 4.92 3.22 "SER VETERIRIA T"
"573" 573 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.5 1.31 0.93 "SENDO ATRIZ OU "
"574" 574 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 12 6 4.5 1.51 1.18 "SER UMA M\XE9DI"
"575" 575 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 7 4.5 1.53 0.95 "EU ME IMAGINO C"
"576" 576 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 7 4.5 4.86 1.14 "UM GRANDE BI\XF"
"577" 577 "1 ou 2 dias" "Sempre" "Não gosto" "Médias" "Sim" "Sim" 1 11 6 4.51 5 2.29 "EU TRABALHANDO "
"578" 578 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 7 4.52 1.9 2.42 "EU FORMADA, COM"
"579" 579 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 14 9 4.52 4.01 1.14 "EU PODENDO ME E"
"580" 580 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 4.53 1.64 1.17 "EU IMAGINO QUE "
"581" 581 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 2 11 6 4.53 1.97 1.09 "UM GRANDE SOLDA"
"582" 582 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 13 6 4.54 2.5 1.39 "COM MUITAS CONQ"
"583" 583 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 8 4.55 1.08 1.01 "CASADA, RICA, C"
"584" 584 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Baixas" "Sim" "Sim" 1 14 7 4.55 4.04 1.84 "EU ME VEJO COMO"
"585" 585 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 1 12 7 4.56 1.5 1.3 "MUITO LEGAL, EU"
"586" 586 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 1 11 7 4.57 1.75 1.31 "COISAS BOAS, TI"
"587" 587 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 2 14 7 4.57 2.19 1.26 "O MUNDO TODO TE"
"588" 588 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 7 4.58 2.87 1.81 "UMA PESSOA BONI"
"589" 589 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 1 12 7 4.59 2.17 0.92 "CASADA, BOA DE "
